,status,category,subcategory,item,yearmonth,value
62,import,Non-Alloy Finished Steel,Flat Products of Non-Alloy Finished Steel,GP/GC/Galvalume,2016-17,566.0
63,import,Non-Alloy Finished Steel,Flat Products of Non-Alloy Finished Steel,Color Coated Sheets/Coils,2016-17,
64,import,Non-Alloy Finished Steel,Flat Products of Non-Alloy Finished Steel,Electrical Coils/Sheets,2016-17,297.0
65,import,Non-Alloy Finished Steel,Flat Products of Non-Alloy Finished Steel,TMBP,2016-17,1.0
66,import,Non-Alloy Finished Steel,Flat Products of Non-Alloy Finished Steel,Tin Plates,2016-17,249.0
67,import,Non-Alloy Finished Steel,Flat Products of Non-Alloy Finished Steel,Tin Free Steel,2016-17,29.0
68,import,Non-Alloy Finished Steel,Flat Products of Non-Alloy Finished Steel,Pipes (Large Diameter),2016-17,99.0
69,import,Non-Alloy Finished Steel,Flat Products of Non-Alloy Finished Steel,Total - Flat Products of Non-Alloy Finished Steel,2016-17,4842.0
70,import,Alloy/Stainless Finished Steel,Non-Flat Products of Alloy/Stainless Finished Steel,,2016-17,468.0
71,import,Alloy/Stainless Finished Steel,Flat Products of Alloy/Stainless Finished Steel,,2016-17,1392.0
72,import,Non-Alloy Finished Steel,Non-Flat Products of Non-Alloy Finished Steel,Bars & Rods,2017-18,243.0
73,import,Non-Alloy Finished Steel,Non-Flat Products of Non-Alloy Finished Steel,Structurals,2017-18,37.0
74,import,Non-Alloy Finished Steel,Non-Flat Products of Non-Alloy Finished Steel,Rly.Materials,2017-18,29.0
75,import,Non-Alloy Finished Steel,Non-Flat Products of Non-Alloy Finished Steel,Total - Non-Flat Products of Non-Alloy Finished Steel,2017-18,309.0
76,import,Non-Alloy Finished Steel,Flat Products of Non-Alloy Finished Steel,Plates,2017-18,574.0
77,import,Non-Alloy Finished Steel,Flat Products of Non-Alloy Finished Steel,HR Coil/Strip,2017-18,1751.0
78,import,Non-Alloy Finished Steel,Flat Products of Non-Alloy Finished Steel,HR Sheets,2017-18,19.0
79,import,Non-Alloy Finished Steel,Flat Products of Non-Alloy Finished Steel,CR Coil/Sheets,2017-18,543.0
80,import,Non-Alloy Finished Steel,Flat Products of Non-Alloy Finished Steel,GP/GC/Galvalume,2017-18,844.0
81,import,Non-Alloy Finished Steel,Flat Products of Non-Alloy Finished Steel,Color Coated Sheets/Coils,2017-18,311.0
82,import,Non-Alloy Finished Steel,Flat Products of Non-Alloy Finished Steel,Electrical Coils/Sheets,2017-18,606.0
83,import,Non-Alloy Finished Steel,Flat Products of Non-Alloy Finished Steel,TMBP,2017-18,1.0
84,import,Non-Alloy Finished Steel,Flat Products of Non-Alloy Finished Steel,Tin Plates,2017-18,192.0
85,import,Non-Alloy Finished Steel,Flat Products of Non-Alloy Finished Steel,Tin Free Steel,2017-18,67.0
86,import,Non-Alloy Finished Steel,Flat Products of Non-Alloy Finished Steel,Pipes (Large Diameter),2017-18,419.0
87,import,Non-Alloy Finished Steel,Flat Products of Non-Alloy Finished Steel,Total - Flat Products of Non-Alloy Finished Steel,2017-18,5327.0
88,import,Alloy/Stainless Finished Steel,Non-Flat Products of Alloy/Stainless Finished Steel,,2017-18,442.0
89,import,Alloy/Stainless Finished Steel,Flat Products of Alloy/Stainless Finished Steel,,2017-18,1404.0
